channel_id,channel_number,node,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1,1,0.999956431,0.999658162,0.999878803,0.999933182,0.999930426,0.999926759,0.999834824,-1,-1,0.999602741,0.999981119,0.999946855
1,2,2,0.999871577,0.997715804,0.999799821,0.999899969,0.999899666,0.999889798,0.999453777,-1,-1,0.99757367,0.999744205,0.999876003
2,3,3,0.999730346,0.995847357,0.999797962,0.999851208,0.999884738,0.999851509,0.998674159,-1,-1,0.994476406,0.99921163,0.999857972
3,4,4,0.999333737,0.995321529,0.999768781,0.999520217,0.9996537,0.999541243,0.997425807,-1,-1,0.993815598,0.99738537,0.999776275
4,5,5,0.930826201,0.987733282,0.995533355,0.999038308,0.999677738,0.99957288,0.99330594,-1,-1,0.984281365,0.997000894,0.939662108
5,6,6,0.930974907,0.985299009,0.995206065,0.998483333,0.999329098,0.999149064,0.989219357,-1,-1,0.977982887,0.993547258,0.942895427
6,7,7,0.930875406,0.979813672,0.995424145,0.99845453,0.999256577,0.999136427,0.983805887,-1,-1,0.973250939,0.993277557,0.935781501
7,8,8,0.866994369,0.577599453,0.966125726,0.953585331,0.961548235,0.962631501,0.807773962,-1,-1,0.734088007,0.82099276,0.904631187
8,9,9,0.864751306,0.61499405,0.964363278,0.952424884,0.961282973,0.962591766,0.81364444,-1,-1,0.746225114,0.828462934,0.892503624
9,10,10,0.882749608,0.614164853,0.968235627,0.953837577,0.964522084,0.963749395,0.797402931,-1,-1,0.749233383,0.830092449,0.902773191
10,11,11,0.89429065,0.618201551,0.970342913,0.954745613,0.966421602,0.964251195,0.783902439,-1,-1,0.754599054,0.833135726,0.909349431
11,12,12,0.913693447,0.622005698,0.974399153,0.956938772,0.969754273,0.965158927,0.7616776,-1,-1,0.766899116,0.837054992,0.927701659
12,13,13,0.922624753,0.626958806,0.97599745,0.957964125,0.971261699,0.965398982,0.749058639,-1,-1,0.775777705,0.839568457,0.936609947
13,14,14,0.927040189,0.635801032,0.976829535,0.958554738,0.971998033,0.965548927,0.746403559,-1,-1,0.789439026,0.844016785,0.94123782
14,15,15,0.931580994,0.637920437,0.97770929,0.959251357,0.972817613,0.965745538,0.744081398,-1,-1,0.799282312,0.847293187,0.946586869
15,16,16,0.945534216,0.669678698,0.980336328,0.96180331,0.974358035,0.967427088,0.768119933,-1,-1,0.822801228,0.860765245,0.962543948
16,17,17,0.999990815,0.99999999,0.999928148,0.999980148,0.999981351,0.999990068,1,-1,-1,0.999999987,1,0.999968252
17,18,18,0.945974983,0.733471233,0.980898516,0.962601897,0.974767782,0.968005164,0.79596983,-1,-1,0.854874407,0.875302126,0.962920587
18,19,19,0.946208477,0.755125216,0.980940039,0.962763552,0.974859182,0.968157613,0.805926269,-1,-1,0.862352463,0.879299872,0.962921527
19,20,20,0.94661297,0.776670702,0.980875566,0.962832546,0.974949691,0.968250032,0.818436914,-1,-1,0.870239054,0.883791816,0.962852816
20,21,21,0.936796781,0.795149477,0.983428322,0.962118785,0.974290002,0.967641798,0.834500586,-1,-1,0.878763787,0.889226588,0.951320172
21,22,22,0.937617241,0.813224232,0.98343571,0.962442803,0.974471388,0.967912062,0.850845976,-1,-1,0.886977318,0.895117961,0.951605365
22,23,23,0.938497082,0.826778686,0.983554506,0.962822037,0.97468584,0.96825437,0.863820116,-1,-1,0.893686656,0.900390518,0.951992004
23,24,24,0.987272991,0.863799089,0.988408125,0.971950147,0.981609159,0.976410062,0.901334212,-1,-1,0.920179189,0.925298518,0.990298395
24,25,25,0.987141321,0.878782143,0.988516462,0.972613477,0.981950901,0.977005556,0.915259316,-1,-1,0.927130528,0.932499036,0.990377376
25,26,26,0.28006396,0.713124217,0.836333479,0.825387624,0.845460159,0.876607888,0.858021116,-1,-1,0.790114504,0.841112591,0.369833395
26,27,28,0.309091376,0.752943612,0.864936208,0.864342362,0.888379251,0.879099152,0.873845435,-1,-1,0.820885095,0.848542803,0.432618799
27,28,27,0.29509609,0.733490549,0.837374647,0.829446721,0.847485118,0.880366193,0.870351696,-1,-1,0.809355303,0.85004353,0.388763173
28,29,29,0.354745806,0.785863538,0.86666979,0.878899113,0.895905372,0.890312137,0.888203276,-1,-1,0.842505812,0.871952079,0.483671261
29,30,26,0.443903838,0.803033141,0.886572422,0.87504149,0.904193141,0.897307259,0.778438719,-1,-1,0.820994152,0.857908456,0.52948043
30,31,29,0.395731949,0.781324358,0.876556807,0.867693826,0.89484756,0.885974366,0.811112681,-1,-1,0.813277766,0.845685644,0.445737686
31,32,30,0.42735013,0.937356371,0.917403091,0.898102336,0.908510685,0.917371369,0.947723964,-1,-1,0.895448426,0.945551344,0.469157731
32,33,31,0,0.410384499,0.175658,0.275678849,0.20182645,0.543281498,0.401722649,-1,-1,0.369848737,0.588484176,0
33,34,30,0.26267584,0.714413977,0.803753755,0.815582433,0.849446029,0.848995169,0.741219935,-1,-1,0.768018542,0.825964165,0.30946202
34,35,31,0.060399745,0.55420161,0.610359749,0.733435312,0.697218556,0.776202465,0.768305355,-1,-1,0.71849471,0.780486009,0.102434373
35,36,32,0.216069362,0.762571423,0.757405933,0.846714637,0.824695439,0.848743613,0.76098962,-1,-1,0.774472235,0.845795174,0.243802742
36,37,33,0.228294872,0.74946234,0.770354606,0.852772233,0.818790549,0.861464273,0.812442898,-1,-1,0.799071083,0.864122993,0.273235457
37,38,34,0.182758601,0.723840298,0.722355338,0.815254,0.783687661,0.816752871,0.759900586,-1,-1,0.765920155,0.840055594,0.211816026
38,39,35,0.123677202,0.685038967,0.671842963,0.769483376,0.735642861,0.786876218,0.765563508,-1,-1,0.748278277,0.819198298,0.152226407
39,40,36,0.135874692,0.701046713,0.679927784,0.777311422,0.746944124,0.788177732,0.772851165,-1,-1,0.754398037,0.825201027,0.160426344
40,41,35,0.206582708,0.805381137,0.731067573,0.794583845,0.770643417,0.822978223,0.870427257,-1,-1,0.803811981,0.851291469,0.219419505
41,42,37,0.165250249,0.751899222,0.704403328,0.784070997,0.758188079,0.799885623,0.816464314,-1,-1,0.776021577,0.836811448,0.180586672
42,43,38,0.118008564,0.742482197,0.617300717,0.696933652,0.660129377,0.748401609,0.764814923,-1,-1,0.756084109,0.826644365,0.129629125
43,44,39,0.139670268,0.759412727,0.648937738,0.723384581,0.692922851,0.764289171,0.785951452,-1,-1,0.771031021,0.838384739,0.149883865
44,45,40,0.215003242,0.794709146,0.743495858,0.795814635,0.766382351,0.792972251,0.833733693,-1,-1,0.802727759,0.878268717,0.222315985
45,46,41,0.233056921,0.805821775,0.750490177,0.800753341,0.776912512,0.801843251,0.844878457,-1,-1,0.812321815,0.883802895,0.232296423
46,47,42,0.23986704,0.809001798,0.750996499,0.798036461,0.773413353,0.798978496,0.849343726,-1,-1,0.818567436,0.885878975,0.242008136
47,48,43,0.292580888,0.805667758,0.781234949,0.82428108,0.789826649,0.812289522,0.849561347,-1,-1,0.837668625,0.895700915,0.298603634
