channel_id,channel_number,node,A,B,C,D,E
0,1,1,0.999964204,0.999980261,0.999972333,0.999971635,0.99995028
1,2,2,0.999762446,0.999888214,0.999942216,0.999927558,0.999767982
2,3,3,0.999203695,0.999632281,0.999895079,0.99980205,0.999462965
3,4,4,0.996777617,0.998317903,0.999614554,0.998722121,0.998054363
4,5,5,0.995142258,0.996890006,0.999495877,0.997898626,0.997092909
5,6,6,0.989248891,0.993404511,0.998261141,0.995198072,0.993916487
6,7,7,0.986784946,0.990825107,0.996523735,0.993319371,0.9917391
7,8,8,0.430939487,0.527619059,0.61546852,0.663095845,0.597592917
8,9,9,0.445744272,0.525419372,0.635331288,0.676299698,0.614478037
9,10,10,0.452140353,0.526792091,0.659942441,0.685875491,0.625516583
10,11,11,0.460572707,0.524507845,0.675283,0.694507389,0.634075478
11,12,12,0.474891054,0.523182385,0.69285475,0.702061743,0.644157558
12,13,13,0.485651952,0.519691742,0.69976366,0.707062984,0.65103297
13,14,14,0.498956919,0.52314257,0.703386504,0.711550292,0.656648154
14,15,15,0.509151873,0.527710482,0.706246378,0.714872508,0.661793024
15,16,16,0.542956075,0.551455919,0.738763525,0.731932232,0.682544452
16,17,17,1,0.999999995,0.999997829,0.999999112,0.999999052
17,18,18,0.591698826,0.613478193,0.778817181,0.754980517,0.703833135
18,19,19,0.609283776,0.634115974,0.789450502,0.761724832,0.711329078
19,20,20,0.630430589,0.656127921,0.799416095,0.768555559,0.719834766
20,21,21,0.65600749,0.680092857,0.81272793,0.77528793,0.769583101
21,22,22,0.675735109,0.703218041,0.818699901,0.785465795,0.777759815
22,23,23,0.692065755,0.721563602,0.824311913,0.792461271,0.785866015
23,24,24,0.750256129,0.782812624,0.869324202,0.837054741,0.828250425
24,25,25,0.769430417,0.804666519,0.874191515,0.845440327,0.838727529
25,26,26,0.401704711,0.375416708,0.416357006,0.48984165,0.500179119
26,27,28,0.593346335,0.616966264,0.55234291,0.641400144,0.612145552
27,28,27,0.428101032,0.39950467,0.430733985,0.514231318,0.514284311
28,29,29,0.637341058,0.65831856,0.597277968,0.679459684,0.64865085
29,30,26,0.572967847,0.589297795,0.550759922,0.619096692,0.638915984
30,31,29,0.556158516,0.584507552,0.534876413,0.610363822,0.619950828
31,32,30,0.834010083,0.78434741,0.710621701,0.807965,0.84320713
32,33,31,0.042181439,0.01583624,0.002888676,0.07727232,0.066291203
33,34,30,0.454727538,0.456186065,0.340750309,0.507585373,0.521271986
34,35,31,0.268184123,0.246786191,0.131902945,0.282261249,0.278151605
35,36,32,0.516493459,0.515329341,0.397768302,0.512939672,0.538799846
36,37,33,0.533245664,0.51970905,0.407015771,0.532013476,0.553890038
37,38,34,0.477598344,0.461269909,0.328247072,0.46711801,0.499652406
38,39,35,0.410384264,0.407453118,0.248341745,0.406073031,0.415436743
39,40,36,0.434355806,0.436545797,0.277143617,0.430705899,0.434042767
40,41,35,0.600180874,0.611976659,0.490092613,0.58098659,0.572032467
41,42,37,0.511922081,0.523038978,0.36860293,0.496314909,0.493295026
42,43,38,0.471521519,0.47685382,0.303073086,0.441882507,0.455394492
43,44,39,0.504283556,0.515517858,0.348534948,0.478166966,0.486075051
44,45,40,0.58131177,0.58680254,0.439064191,0.549994255,0.563077808
45,46,41,0.598825315,0.610954848,0.464762846,0.577181358,0.577744216
46,47,42,0.606198085,0.621178714,0.472546129,0.585119008,0.584227569
47,48,43,0.629367747,0.636523686,0.491514902,0.606501817,0.610954982
48,49,469,0.643413018,0.659429118,0.505231343,0.622906794,0.596568418
49,50,45,0.678724312,0.675082641,0.544496377,0.650749688,0.620100749
50,51,461,0.67819376,0.658915202,0.54723123,0.652765726,0.619862401
51,52,46,0.711095262,0.701536478,0.594789211,0.690313473,0.657511702
52,53,47,0.773984802,0.784654365,0.673395463,0.741144571,0.715316265
53,54,8,0.434497806,0.485767947,0.602616905,0.603437891,0.463098017
54,55,48,0.453867892,0.479939632,0.575867995,0.632124153,0.474860253
55,56,49,0.469177496,0.500592621,0.599765358,0.6440506,0.495264742
56,57,50,0.479419569,0.509430595,0.616414696,0.655484308,0.509678389
57,58,51,0.485205215,0.517535391,0.633082705,0.659446505,0.519444543
58,59,52,0.387039616,0.429784018,0.601600741,0.643774444,0.447433449
59,60,53,0.402440201,0.433250605,0.605629167,0.66199341,0.461176617
60,61,54,0.416393268,0.42820412,0.671719115,0.687539001,0.508997434
61,62,55,0.441587942,0.440320765,0.677679746,0.707904549,0.529381689
62,63,56,0.537348237,0.614340675,0.851911523,0.711979721,0.529323362
63,65,169,0.570070953,0.595694192,0.824916871,0.773459932,0.501583626
64,66,169,0.422327794,0.428977719,0.733127333,0.663856433,0.320495658
65,67,57,0.42434334,0.417770425,0.746592486,0.582047529,0.325039097
66,68,58,0.229703566,0.279297964,0.78233597,0.720077133,0.445924296
67,69,57,0.656022471,0.851381268,0.642756008,0.890769971,0.851579521
68,70,59,0.298094058,0.396506791,0.862692722,0.756183665,0.521047887
69,71,60,0.328364989,0.432306726,0.870891579,0.76485724,0.55999394
70,72,61,0.428211036,0.499952492,0.877323681,0.789759081,0.61999021
71,73,62,0.535615788,0.581257966,0.88564482,0.823441302,0.681826798
72,74,63,0.536198501,0.600010298,0.889849475,0.840970933,0.712498602
73,75,64,0.575554653,0.638844447,0.89147581,0.851104356,0.739602423
74,76,65,0.632194803,0.698014896,0.892676734,0.868410913,0.777452451
75,77,66,0.654972717,0.723511595,0.895215242,0.876092764,0.795205254
76,78,67,0.700254488,0.765878131,0.906390109,0.889075344,0.820172821
77,79,68,0.703966049,0.766670805,0.910412754,0.888621704,0.821098299
78,80,69,0.734991299,0.799814073,0.909306844,0.913618784,0.841442538
79,81,70,7.32E-40,2.61E-165,1.91E-16,3.26E-07,3.97E-75
80,82,71,1.17E-11,1.43E-23,0.000170482,0.000294915,6.18E-08
81,83,44,0.639270715,0.653296875,0.498583725,0.617461149,0.592710187
82,84,73,6.52E-47,1.38E-51,9.86E-78,6.31E-12,2.35E-16
83,85,74,1.08E-44,2.60E-51,4.73E-77,3.50E-12,2.84E-16
84,86,75,4.02E-36,1.01E-36,4.60E-57,8.03E-10,7.35E-14
85,88,77,1.96E-28,1.62E-33,3.60E-53,5.59E-10,2.62E-11
86,89,78,2.79E-26,5.58E-32,2.96E-53,8.00E-10,9.89E-11
87,90,79,5.64E-25,3.44E-30,7.51E-52,1.95E-09,4.77E-10
88,91,80,4.30E-24,7.31E-28,9.05E-52,3.31E-09,1.54E-09
