CHAN_NO,LENGTH (feet),UPNODE,DOWNNODE
1,19500,1,2
2,14000,2,3
3,13000,3,4
4,14050,4,5
5,12350,5,6
6,9878,6,7
7,8796,7,8
8,11625,8,9
9,10497,9,10
10,9400,10,11
11,12748,11,12
12,8214,12,13
13,7706,13,14
14,5339,14,15
15,5388,15,16
16,5384,16,18
17,13150,17,1
18,3765,18,19
19,3666,19,20
20,4107,20,21
21,5947,21,22
22,6803,22,23
23,3425,23,24
24,7742,24,25
25,3317,25,26
26,4000,26,27
27,4700,28,26
28,5000,27,29
29,3800,29,28
30,7358,26,29
31,6525,29,30
32,6098,30,31
33,2397,31,32
34,5988,30,32
35,7239,31,33
36,5532,32,33
37,5291,33,34
38,4791,34,35
39,4316,35,36
40,5753,36,37
41,6359,35,37
42,8762,37,38
43,2492,38,39
44,3619,39,40
45,12421,40,41
46,11780,41,42
47,14248,42,43
48,9015,43,44
49,12948,469,45
50,9721,45,461
51,11539,461,46
52,8783,46,47
53,11276,47,464
54,3787,8,48
55,4762,48,49
56,4214,49,50
57,4378,50,51
58,4975,51,52
59,4762,52,53
60,5875,53,54
61,6003,54,55
62,4600,55,56
63,3010,56,57
65,3161,169,56
66,2075,169,57
67,2887,57,58
68,3769,58,59
69,7403,57,59
70,3985,59,60
71,6019,60,61
72,4513,61,62
73,4142,62,63
74,3904,63,64
75,4282,64,65
76,4686,65,66
77,7316,66,67
78,3185,67,68
79,3457,68,69
80,5447,69,70
81,3857,70,71
82,2609,71,72
83,5450,44,469
84,3377,73,74
85,3377,74,75
86,5022,75,77
88,4754,77,78
89,4544,78,79
90,3722,79,80
91,4119,80,81
92,6169,81,82
94,4034,82,84
95,3850,84,85
96,3741,85,86
97,3249,86,88
101,3950,88,89
102,3927,89,90
104,3645,90,91
105,2947,91,92
106,3819,92,93
107,4183,93,94
108,7064,93,94
111,4050,94,97
114,3991,98,97
115,3340,97,99
116,3298,98,99
117,8901,99,102
118,12030,100,99
119,12785,100,101
120,5677,101,102
121,4792,102,232
122,6142,232,103
123,7396,101,103
124,7062,103,38
125,4937,52,104
126,8246,104,105
127,5267,105,106
128,8409,106,107
129,5691,107,108
130,7026,108,109
131,5640,109,110
132,5447,110,111
133,6823,111,112
134,7627,112,113
135,4427,113,114
136,2266,114,115
137,3983,115,116
138,7131,116,117
139,2294,117,118
140,6283,118,120
141,7632,118,119
142,5345,119,120
143,3379,120,121
144,2708,121,122
145,2818,123,121
146,3053,122,123
147,3804,123,124
148,4423,122,124
149,4373,124,125
150,4354,125,126
151,4217,126,127
152,3731,127,128
153,3312,128,129
154,3980,129,130
155,2616,130,131
156,2593,130,132
157,2775,131,132
158,2088,131,132
159,4306,132,133
160,6956,133,31
161,10808,133,134
162,4261,134,34
163,5058,134,35
164,3332,144,135
165,3743,135,136
166,3265,136,137
167,3407,137,130
168,6624,136,130
169,8000,16,138
