channel_id,channel_number,node,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1,1,0.999857789,0.999960369,0.999938934,0.999954523,0.999943358,0.999860591,0.999981625,0.999982646,0.999974918,0.999981522,0.999894946,0.999955441
1,2,2,0.99977118,0.999936028,0.999905856,0.999925877,0.999923849,0.999804719,0.999483434,0.999868766,0.999954546,0.999964565,0.99983867,0.999769677
2,3,3,0.999686199,0.999923173,0.999855702,0.999913268,0.999899231,0.999784009,0.997902227,0.999456514,0.999729826,0.999893246,0.999826305,0.999231308
3,4,4,0.998949227,0.999921792,0.999406339,0.999883518,0.999454433,0.999531422,0.993232703,0.997806983,0.998129426,0.999276598,0.999438767,0.995895199
4,5,5,0.997879524,0.983795387,0.999336527,0.999830527,0.999458582,0.997100973,0.991368724,0.997487431,0.997962475,0.998970564,0.997904576,0.994308199
5,6,6,0.996757592,0.982926709,0.998432513,0.999702617,0.998736916,0.996807184,0.9842198,0.994811245,0.995400366,0.997459907,0.997464699,0.989008112
6,7,7,0.996682606,0.983389329,0.998218431,0.999548815,0.998484,0.996988436,0.983340939,0.994766456,0.995490448,0.997077715,0.997594442,0.986398149
7,8,8,0.91257677,0.927364544,0.909774277,0.943611194,0.917341443,0.97057006,0.645095508,0.779729605,0.830951503,0.780532217,0.933966469,0.463623954
8,9,9,0.909171983,0.923913916,0.907425397,0.942311546,0.916847192,0.969465156,0.633839182,0.77476609,0.83687413,0.781921816,0.93133231,0.470805425
9,10,10,0.91991946,0.932610969,0.913014383,0.946390353,0.920439823,0.972474233,0.615206988,0.771359705,0.835799698,0.786516925,0.938708357,0.47236607
10,11,11,0.925944294,0.938212617,0.916462975,0.948898839,0.922663639,0.974239671,0.605011425,0.769561039,0.832405866,0.790192177,0.942920216,0.476229564
11,12,12,0.937032999,0.948217001,0.923267188,0.954104991,0.92683951,0.977568619,0.607774162,0.77015349,0.829524286,0.797791698,0.951160114,0.48368637
12,13,13,0.941503876,0.953138843,0.926034442,0.956318242,0.928783051,0.978963332,0.617387918,0.773193655,0.828508617,0.801409467,0.954409944,0.486939926
13,14,14,0.943710373,0.955550957,0.927509015,0.957413485,0.929799509,0.979666882,0.636358478,0.776720814,0.829250808,0.806389542,0.956034129,0.494235674
14,15,15,0.946155456,0.958326651,0.929044017,0.958717038,0.930908317,0.980402797,0.652466422,0.779369406,0.831137798,0.810522395,0.957818211,0.50000799
15,16,16,0.95027453,0.964839079,0.932766544,0.962380814,0.933836712,0.982888444,0.688483958,0.791645914,0.836102247,0.823897367,0.961564186,0.531048711
16,17,17,0.999948825,0.999978708,0.999982511,0.999977129,0.999988373,0.999959497,0.999997962,0.999997486,0.999999125,0.999997818,0.999951935,1
17,18,18,0.951414195,0.965148542,0.934505985,0.963170248,0.934952571,0.983214813,0.75487588,0.813637448,0.844534408,0.841944559,0.962787871,0.586415906
18,19,19,0.951494241,0.965257095,0.934884836,0.963323904,0.935189532,0.983224577,0.772935459,0.82116782,0.848459642,0.847388737,0.96293738,0.605878069
19,20,20,0.951403137,0.965443203,0.93510543,0.9634217,0.935348735,0.983150099,0.790822586,0.830731262,0.853810243,0.853518791,0.962883476,0.628016236
20,21,21,0.957017744,0.973082196,0.941070088,0.961351317,0.93474358,0.981628477,0.81181238,0.844237552,0.861411785,0.860209291,0.970629724,0.652818005
21,22,22,0.957085605,0.973170038,0.941666665,0.96167084,0.935265017,0.981637706,0.827783792,0.857908815,0.869405962,0.867628107,0.970736162,0.6756992
22,23,23,0.957271644,0.973322004,0.942381296,0.9620923,0.93573571,0.981668959,0.838327056,0.868435128,0.876718477,0.873732069,0.970914381,0.694362079
23,24,24,0.964032205,0.987347731,0.951978006,0.976469453,0.948112248,0.989239595,0.87682755,0.905091193,0.908735823,0.902769143,0.977843541,0.752158588
24,25,25,0.96422858,0.987368061,0.953135473,0.977111523,0.949054308,0.989258757,0.891724715,0.917870676,0.91716728,0.908662058,0.978085612,0.774000242
25,26,26,0.790191873,0.665326842,0.805788647,0.726087649,0.76567911,0.794953662,0.776530681,0.752991787,0.698516615,0.685465491,0.826197766,0.459336761
26,27,28,0.810644242,0.731327517,0.828090862,0.771766812,0.801888503,0.833526599,0.800631983,0.826303932,0.773396173,0.735243031,0.837307886,0.586979731
27,28,27,0.791694345,0.66655341,0.80977797,0.73247576,0.770176734,0.795997673,0.791016246,0.77293433,0.722251618,0.705386952,0.828526947,0.487885208
28,29,29,0.813015278,0.756487047,0.836215443,0.783314838,0.815838287,0.834229316,0.82458923,0.847058979,0.797796697,0.758829629,0.843297178,0.634147804
29,30,26,0.832492918,0.788854977,0.83695094,0.798835266,0.816824519,0.860863862,0.744859138,0.755239557,0.741257853,0.727406303,0.853062117,0.639902304
30,31,29,0.824328484,0.752586702,0.833883245,0.787968354,0.808106862,0.847365937,0.751180354,0.776007853,0.751475365,0.72579036,0.848782424,0.620303794
31,32,30,0.892042996,0.774840106,0.912915757,0.813558708,0.875567116,0.861501243,0.912291439,0.901033307,0.821557209,0.88216306,0.900267704,0.873103726
32,33,31,0.078852525,0,0,0,0.113851767,0.148044317,0.129566412,0.087602815,0.124507015,0.101660602,0.200576661,0.189054707
33,34,30,0.732551662,0.650671407,0.755603134,0.679739107,0.745737397,0.752830255,0.66380776,0.692665738,0.682371644,0.64674281,0.771746131,0.578355303
34,35,31,0.5250116,0.485663133,0.574085651,0.391666699,0.544079103,0.537334784,0.61161246,0.655123931,0.614823779,0.538768127,0.643019987,0.41284463
35,36,32,0.681103071,0.600264695,0.750589513,0.611787664,0.723340723,0.691326393,0.698238785,0.719887972,0.652709851,0.662745682,0.742522817,0.613494355
36,37,33,0.701103156,0.591466316,0.760799879,0.608269917,0.726570621,0.717095518,0.725511904,0.763198515,0.714883432,0.723085748,0.770675378,0.635083287
37,38,34,0.648235493,0.563326946,0.704946452,0.532464498,0.683729604,0.651885926,0.671558328,0.71117615,0.669002809,0.65294875,0.742454336,0.597001427
38,39,35,0.594320673,0.490514553,0.638303741,0.44309385,0.609823379,0.594184473,0.671024471,0.693309495,0.634003933,0.599426801,0.707994477,0.533856618
39,40,36,0.601707553,0.509803324,0.649817637,0.45854387,0.6265266,0.600252974,0.694646878,0.705714486,0.636593315,0.60754792,0.71327313,0.547791384
40,41,35,0.685252844,0.521885517,0.682343946,0.530300475,0.696765209,0.614681198,0.802088225,0.786955832,0.69222994,0.635067774,0.794123508,0.620709343
41,42,37,0.633269581,0.510109958,0.673614342,0.482182164,0.655470043,0.606949806,0.750119168,0.742013551,0.662827565,0.629011993,0.749660316,0.582004638
42,43,38,0.663981695,0.337020026,0.500924305,0.370943935,0.559768942,0.486918301,0.697677205,0.701701855,0.64713888,0.56983848,0.706771284,0.570123814
43,44,39,0.686226159,0.375999312,0.54749239,0.408286378,0.59797984,0.517721876,0.722953857,0.723555262,0.663690703,0.595408513,0.727097472,0.591048547
44,45,40,0.67857559,0.435554131,0.708902073,0.545445733,0.684579335,0.652112055,0.774039874,0.771511822,0.707486411,0.722131855,0.822903071,0.653547809
45,46,41,0.686809667,0.455061529,0.715411839,0.558569482,0.694719321,0.656336585,0.790137499,0.78227882,0.717830439,0.730460659,0.82848117,0.665996417
46,47,42,0.692521527,0.447006123,0.706972722,0.552326207,0.691153611,0.650232038,0.796144129,0.78808972,0.728570628,0.732077711,0.833749697,0.671251505
47,48,43,0.719330126,0.608732351,0.767066653,0.642322497,0.718611223,0.669980288,0.799180174,0.808703777,0.760949658,0.758210987,0.851235925,0.693364759
48,49,469,0.702501662,0.5675549,0.742958234,0.602208833,0.691969484,0.655064321,0.827926295,0.817000576,0.770067719,0.755295196,0.84609059,0.673651553
49,50,45,0.714280677,0.563017357,0.743403252,0.600835166,0.691794773,0.661476983,0.852693502,0.831409476,0.803304375,0.781762673,0.854793183,0.692687076
50,51,461,0.713006161,0.576976812,0.751039948,0.610828803,0.693639,0.66683409,0.865864569,0.846976091,0.825832434,0.800839039,0.861416097,0.696707691
51,52,46,0.735998985,0.645024133,0.778499841,0.654267324,0.712358229,0.684050617,0.878102893,0.85201236,0.830833363,0.811260237,0.868897139,0.718455772
52,53,47,0.779634426,0.709344395,0.823919723,0.699153938,0.739708616,0.703383782,0.898060919,0.862581592,0.830198133,0.796926322,0.874477912,0.75139496
53,54,8,0.909814568,0.907004854,0.905956331,0.940762483,0.906578311,0.971056442,0.520815714,0.815581264,0.759956649,0.776622149,0.935662776,0.546471545
54,55,48,0.904442247,0.900984988,0.903926565,0.938261709,0.905764055,0.970138084,0.512942703,0.812201968,0.763389923,0.772201047,0.93265806,0.561321331
55,56,49,0.913242561,0.906489101,0.909568286,0.942042414,0.911076255,0.972092953,0.503798644,0.813159731,0.762644172,0.773936452,0.93697235,0.576755588
56,57,50,0.920100515,0.912632918,0.913640815,0.945447117,0.914544521,0.973706401,0.493468804,0.813229618,0.761697333,0.774224345,0.940666753,0.587824375
57,58,51,0.926051729,0.917756047,0.917261963,0.948408221,0.91743393,0.975043832,0.482346662,0.812632267,0.759442332,0.774735253,0.943901069,0.597178418
58,59,52,0.916497703,0.886677442,0.903861456,0.931310711,0.904774636,0.968963856,0.442429606,0.7946772,0.727967946,0.742082004,0.935807372,0.532685744
59,60,53,0.917529151,0.893718767,0.905045564,0.93204786,0.906282309,0.969471857,0.432382929,0.794121972,0.730082455,0.739693419,0.935216903,0.546534688
60,61,54,0.931278018,0.939513471,0.911925366,0.939141493,0.911048018,0.976932255,0.390475139,0.804157167,0.725356209,0.739933499,0.947476424,0.555264479
61,62,55,0.93442477,0.942671687,0.914457927,0.941683148,0.913472903,0.977914508,0.392052195,0.805888238,0.731369376,0.739570198,0.948083485,0.569576795
62,63,56,0.879759096,0.819750094,0.856941364,0.900728675,0.893802791,0.907915196,0.657256429,0.671411301,0.834216921,0.77461974,0.896440698,0.548070971
63,65,169,0.870064121,0.881146765,0.855880085,0.855488654,0.905130432,0.919548221,0.699200255,0.70822228,0.852420442,0.787579133,0.911491254,0.603106591
64,66,169,0.878810992,0.882409683,0.852175125,0.846430089,0.905976906,0.92163859,0.660473134,0.671575159,0.854982444,0.746145021,0.910385914,0.418033141
65,67,57,0.903611918,0.94543121,0.869756466,0.918507515,0.899463628,0.95256651,0.64447634,0.644355975,0.837057794,0.748250945,0.906814035,0.42238478
66,68,58,0.919576254,0.949695105,0.880248984,0.918973894,0.887248535,0.957303126,0.404477335,0.686066605,0.815025105,0.718964096,0.914768849,0.451327701
67,69,57,0.915608487,0.840159423,0.910644342,0.936635643,0.922681543,0.919455497,0.676921536,0.71360283,0.879540059,0.800517901,0.918309143,0.607222233
68,70,59,0.932846616,0.942601192,0.90201494,0.951125694,0.906614237,0.96165367,0.43067178,0.675315098,0.824017597,0.734580985,0.920272225,0.469608788
69,71,60,0.934647948,0.943873079,0.903430402,0.952126203,0.905616641,0.962114558,0.412346535,0.67260758,0.825241609,0.735030002,0.92232922,0.498296496
70,72,61,0.936517223,0.944086045,0.906490783,0.953965156,0.906216919,0.962116861,0.390479025,0.680921029,0.832812468,0.737700794,0.922412897,0.575224434
71,73,62,0.938540887,0.942649743,0.912778147,0.957999978,0.912219539,0.960894053,0.380458055,0.696289348,0.841593101,0.740728859,0.917804624,0.665534682
72,74,63,0.941112654,0.944688568,0.915031447,0.960035748,0.912616188,0.962647591,0.463036118,0.731250034,0.833425516,0.746948097,0.923385007,0.670748556
73,75,64,0.942409574,0.944150484,0.918405705,0.962844707,0.914332165,0.962448839,0.467602231,0.735840751,0.834588903,0.753249008,0.922871312,0.699435733
74,76,65,0.945244394,0.942432697,0.924921821,0.969910957,0.920324375,0.961001965,0.460604769,0.738978982,0.834983358,0.759347913,0.921457174,0.74937736
75,77,66,0.946618344,0.941955795,0.927593972,0.973151188,0.921797673,0.961083872,0.483105424,0.750626252,0.830436466,0.766532359,0.923594786,0.766101117
76,78,67,0.948253179,0.941731598,0.931462299,0.976733359,0.9248357,0.961459194,0.538228873,0.774533311,0.825869773,0.776552025,0.926481722,0.792431656
