Flow,OMR,OMR_range,EXP1,EXP3,NAA,ALT1,ALT2v1,ALT2v2,ALT2v3,ALT2v4,ALT3,ALT4
lolo,< -3500,less than -3500,0,0,0.071,0.063,0.084,0.084,0.084,0.084,0.017,0.094
lolo,>= -3500,greater than or equal to -3500,0.121,0.2,0.117,0.091,0.109,0.111,0.113,0.113,0.226,0.11
lomed,< -3500,less than -3500,0,0,0.031,0.021,0.029,0.03,0.03,0.031,0.007,0.033
lomed,>= -3500,greater than or equal to -3500,0.036,0.09,0.069,0.099,0.079,0.077,0.087,0.073,0.093,0.074
lohi,< -3500,less than -3500,0,0,0.014,0.024,0.026,0.026,0.021,0.017,0.006,0.026
lohi,>= -3500,greater than or equal to -3500,0.027,0.054,0.03,0.019,0.016,0.017,0.021,0.016,0.023,0.016
medlo,< -3500,less than -3500,0,0,0.113,0.103,0.091,0.091,0.084,0.083,0.024,0.09
medlo,>= -3500,greater than or equal to -3500,0.083,0.05,0.003,0.006,0.011,0.011,0.007,0.009,0.064,0.004
medmed,< -3500,less than -3500,0,0,0.084,0.123,0.087,0.083,0.071,0.07,0.011,0.087
medmed,>= -3500,greater than or equal to -3500,0.064,0.066,0.06,0.027,0.051,0.054,0.067,0.081,0.077,0.05
medhi,< -3500,less than -3500,0,0,0.019,0.069,0.063,0.061,0.046,0.046,0.006,0.066
medhi,>= -3500,greater than or equal to -3500,0.051,0.07,0.054,0.009,0.01,0.01,0.026,0.033,0.053,0.009
hilo,< -3500,less than -3500,0,0,0.029,0.03,0.027,0.027,0.026,0.024,0.023,0.029
hilo,>= -3500,greater than or equal to -3500,0.036,0.043,0,0,0.001,0.001,0.001,0.001,0.019,0
himed,< -3500,less than -3500,0,0,0.071,0.096,0.081,0.081,0.076,0.076,0.056,0.083
himed,>= -3500,greater than or equal to -3500,0.146,0.1,0.017,0.001,0.016,0.016,0.021,0.021,0.056,0.011
hihi,< -3500,less than -3500,0,0,0.104,0.153,0.143,0.143,0.12,0.12,0.07,0.15
hihi,>= -3500,greater than or equal to -3500,0.3,0.256,0.113,0.066,0.074,0.074,0.097,0.101,0.164,0.069
NA,< -3500,less than -3500,0,0,0,0,0,0,0,0,0,0
NA,>= -3500,greater than or equal to -3500,0.136,0.071,0,0.001,0.001,0,0,0,0.006,0
