Flow,OMR,OMR_range,EXP1,EXP3,NAA,ALT1,ALT2v1,ALT2v2,ALT2v3,ALT2v4,ALT3,ALT4
lolo,greater than -1000,greater than -1000,0.121,0.2,0.017,0.003,0.013,0.011,0.011,0.014,0.104,0.019
lolo,-2000,-2500 to -1000,0,0,0.077,0.073,0.067,0.071,0.073,0.071,0.094,0.064
lolo,-3500,-2500 to -4000,0,0,0.036,0.026,0.041,0.043,0.043,0.04,0.034,0.04
lolo,-5000,-4000 to -5500,0,0,0.044,0.031,0.063,0.061,0.059,0.061,0.01,0.067
lolo,less than -5500,less than -5500,0,0,0.014,0.021,0.009,0.009,0.011,0.01,0,0.014
lomed,greater than -1000,greater than -1000,0.036,0.09,0.009,0.003,0.009,0.003,0.003,0.007,0.059,0.006
lomed,-2000,-2500 to -1000,0,0,0.047,0.027,0.027,0.034,0.057,0.044,0.027,0.03
lomed,-3500,-2500 to -4000,0,0,0.019,0.071,0.047,0.044,0.031,0.027,0.01,0.047
lomed,-5000,-4000 to -5500,0,0,0.026,0.01,0.024,0.026,0.026,0.026,0.003,0.023
lomed,less than -5500,less than -5500,0,0,0,0.009,0,0,0,0,0.001,0.001
lohi,greater than -1000,greater than -1000,0.027,0.054,0,0,0,0,0.001,0.001,0.01,0.001
lohi,-2000,-2500 to -1000,0,0,0.02,0,0.001,0.003,0.001,0.001,0.004,0
lohi,-3500,-2500 to -4000,0,0,0.014,0.03,0.029,0.029,0.027,0.019,0.013,0.029
lohi,-5000,-4000 to -5500,0,0,0.01,0.013,0.011,0.011,0.013,0.011,0.001,0.011
lohi,less than -5500,less than -5500,0,0,0,0,0,0,0,0,0,0
medlo,greater than -1000,greater than -1000,0.083,0.05,0,0,0.001,0.001,0.001,0.001,0.041,0
medlo,-2000,-2500 to -1000,0,0,0.001,0.001,0.003,0.003,0.001,0.003,0.023,0.001
medlo,-3500,-2500 to -4000,0,0,0.01,0.004,0.023,0.024,0.019,0.019,0.003,0.011
medlo,-5000,-4000 to -5500,0,0,0.091,0.026,0.06,0.059,0.057,0.054,0.02,0.07
medlo,less than -5500,less than -5500,0,0,0.013,0.077,0.016,0.016,0.013,0.014,0.001,0.011
medmed,greater than -1000,greater than -1000,0.064,0.066,0,0,0,0.001,0.011,0.013,0.064,0
medmed,-2000,-2500 to -1000,0,0,0.04,0.003,0.009,0.01,0.034,0.046,0.006,0.007
medmed,-3500,-2500 to -4000,0,0,0.034,0.036,0.084,0.08,0.049,0.049,0.009,0.07
medmed,-5000,-4000 to -5500,0,0,0.066,0.013,0.041,0.041,0.04,0.04,0.01,0.057
medmed,less than -5500,less than -5500,0,0,0.004,0.099,0.004,0.004,0.004,0.004,0,0.003
medhi,greater than -1000,greater than -1000,0.051,0.07,0.013,0.001,0.003,0.003,0.009,0.009,0.051,0.003
medhi,-2000,-2500 to -1000,0,0,0.023,0.001,0,0,0.007,0.013,0.001,0
medhi,-3500,-2500 to -4000,0,0,0.02,0.016,0.039,0.039,0.029,0.029,0,0.027
medhi,-5000,-4000 to -5500,0,0,0.017,0.04,0.031,0.03,0.027,0.029,0.006,0.044
medhi,less than -5500,less than -5500,0,0,0,0.019,0,0,0,0,0,0
hilo,greater than -1000,greater than -1000,0.036,0.043,0,0,0,0,0,0,0.011,0
hilo,-2000,-2500 to -1000,0,0,0,0,0,0,0,0,0.006,0
hilo,-3500,-2500 to -4000,0,0,0.004,0,0.011,0.011,0.011,0.01,0.004,0.006
hilo,-5000,-4000 to -5500,0,0,0.024,0.001,0.017,0.017,0.016,0.016,0.02,0.023
hilo,less than -5500,less than -5500,0,0,0,0.029,0,0,0,0,0,0
himed,greater than -1000,greater than -1000,0.146,0.1,0,0,0,0,0,0,0.036,0
himed,-2000,-2500 to -1000,0,0,0.006,0,0.001,0.001,0.014,0.016,0.017,0.001
himed,-3500,-2500 to -4000,0,0,0.02,0.003,0.041,0.041,0.027,0.026,0.011,0.026
himed,-5000,-4000 to -5500,0,0,0.063,0.001,0.054,0.054,0.056,0.056,0.047,0.067
himed,less than -5500,less than -5500,0,0,0,0.093,0,0,0,0,0,0
hihi,greater than -1000,greater than -1000,0.3,0.256,0.041,0.044,0.039,0.039,0.041,0.043,0.149,0.039
hihi,-2000,-2500 to -1000,0,0,0.031,0.016,0.007,0.007,0.036,0.036,0.006,0.007
hihi,-3500,-2500 to -4000,0,0,0.06,0.021,0.069,0.069,0.046,0.049,0.013,0.041
hihi,-5000,-4000 to -5500,0,0,0.084,0.046,0.103,0.103,0.094,0.094,0.067,0.129
hihi,less than -5500,less than -5500,0,0,0,0.091,0,0,0,0,0,0.003
NA,greater than -1000,greater than -1000,0.136,0.071,0,0.001,0,0,0,0,0.001,0
NA,-2000,-2500 to -1000,0,0,0,0,0.001,0,0,0,0.004,0
NA,-3500,-2500 to -4000,0,0,0,0,0,0,0,0,0,0
NA,-5000,-4000 to -5500,0,0,0,0,0,0,0,0,0,0
NA,less than -5500,less than -5500,0,0,0,0,0,0,0,0,0,0
