Date,Sac.cfs,SJR.cfs,Month,Year,Sub.group
1921-12-31T00:00:00Z,19518.53979291754,4421.074211881515,12,1921,medhi
1922-01-31T00:00:00Z,20220.73522459164,3347.9671879255693,1,1922,medmed
1922-02-28T00:00:00Z,43810.80462225479,10644.56265893267,2,1922,hihi
1922-03-31T00:00:00Z,39305.87954956103,7986.818280331116,3,1922,hihi
1922-04-30T00:00:00Z,30564.310188548105,8955.16753404841,4,1922,hihi
1922-05-31T00:00:00Z,31675.20126009218,6913.223567293874,5,1922,hihi
1922-06-30T00:00:00Z,11641.568438565799,6113.742773799357,6,1922,lohi
1922-12-31T00:00:00Z,37475.34293809488,3562.1319259018965,12,1922,himed
1923-01-31T00:00:00Z,30413.364041619894,4755.556701192215,1,1923,hihi
1923-02-28T00:00:00Z,18546.445546405022,5458.615461661878,2,1923,medhi
1923-03-31T00:00:00Z,14008.308706590728,4455.477246961157,3,1923,medhi
1923-04-30T00:00:00Z,20435.215980900164,6247.3433202734195,4,1923,medhi
1923-05-31T00:00:00Z,15536.032063396106,3806.992316064535,5,1923,medmed
1923-06-30T00:00:00Z,10195.884356540842,2326.9645180955144,6,1923,lomed
1923-12-31T00:00:00Z,9357.524836514864,1444.782210012889,12,1923,lolo
1924-01-31T00:00:00Z,13235.64296550558,1756.4428269500343,1,1924,lolo
1924-02-29T00:00:00Z,16920.34820046394,1883.7864882693225,2,1924,medlo
1924-03-31T00:00:00Z,7596.1121675644035,2158.496656043632,3,1924,lomed
1924-04-30T00:00:00Z,5914.321557280099,2020.1295130464773,4,1924,lomed
1924-05-31T00:00:00Z,6733.04491267777,1455.745570495709,5,1924,lolo
1924-06-30T00:00:00Z,7435.308615421279,1259.3564942197584,6,1924,lolo
1924-12-31T00:00:00Z,11626.500367067598,1482.141904325266,12,1924,lolo
1925-01-31T00:00:00Z,12225.320858269622,1612.1060824702822,1,1925,lolo
1925-02-28T00:00:00Z,55944.34736550891,2307.6161235971363,2,1925,himed
1925-03-31T00:00:00Z,20330.372569905725,2093.210298797967,3,1925,medmed
1925-04-30T00:00:00Z,21330.864344286983,3562.8733248995486,4,1925,medmed
1925-05-31T00:00:00Z,11462.80947290651,2731.661310567448,5,1925,lomed
1925-06-30T00:00:00Z,12599.203461840087,1702.6939634621328,6,1925,lolo
1925-12-31T00:00:00Z,9431.016986417346,1395.6164058140378,12,1925,lolo
1926-01-31T00:00:00Z,17876.010027669934,1809.2908993695785,1,1926,medlo
1926-02-28T00:00:00Z,39149.198654305685,2601.643978618227,2,1926,himed
1926-03-31T00:00:00Z,20809.637698514485,2154.9773457610927,3,1926,medmed
1926-04-30T00:00:00Z,18581.449893827226,3034.5528498050026,4,1926,medmed
1926-05-31T00:00:00Z,14393.931361609302,2102.695751696018,5,1926,medmed
1926-06-30T00:00:00Z,13776.685704399206,1467.4087318713068,6,1926,medlo
1926-12-31T00:00:00Z,16882.6930116252,1552.3129994304036,12,1926,medlo
1927-01-31T00:00:00Z,33957.086923462164,1839.6719608255805,1,1927,hilo
1927-02-28T00:00:00Z,80394.21860784294,3453.850051790138,2,1927,himed
1927-03-31T00:00:00Z,47281.83940249883,3062.3133791274163,3,1927,himed
1927-04-30T00:00:00Z,44491.21617080615,7459.643309943956,4,1927,hihi
