Inflow group,OMR bin,NAA,Alt1,Alt2woTUCPwoVA,Alt2woTUCPDeltaVA,Alt2woTUCPAllVA,Alt2wTUCPwoVA,Alt4
lolo,-2000,54189 (0%),27647 (-49%),54189 (0%),54189 (0%),45576 (-16%),54189 (0%),59520 (10%)
lolo,-3500,117806 (0%),113044 (-4%),124055 (5%),113044 (-4%),113044 (-4%),124055 (5%),124055 (5%)
lolo,-5000,244276 (0%),300848 (23%),365683 (50%),349100 (43%),333734 (37%),369715 (51%),384643 (57%)
lolo,<-5500,550390 (0%),545821 (-1%),531698 (-3%),546185 (-1%),566187 (3%),531698 (-3%),495562 (-10%)
lomed,-2000,81465 (0%),101000 (24%),96978 (19%),81465 (0%),76711 (-6%),86009 (6%),94255 (16%)
lomed,-3500,130344 (0%),120549 (-8%),139432 (7%),120549 (-8%),120549 (-8%),134670 (3%),139432 (7%)
lomed,-5000,212060 (0%),232319 (10%),292886 (38%),285278 (35%),285278 (35%),292886 (38%),295704 (39%)
lomed,<-5500,NA,497719 (NA%),NA,NA,NA,NA,471716 (NA%)
lohi,-2000,134395 (0%),242378 (80%),184427 (37%),203592 (51%),348484 (159%),180004 (34%),184427 (37%)
lohi,-3500,212271 (0%),238954 (13%),241888 (14%),244954 (15%),195785 (-8%),241888 (14%),241888 (14%)
lohi,-5000,230194 (0%),238705 (4%),197313 (-14%),178896 (-22%),197313 (-14%),197313 (-14%),194247 (-16%)
medlo,-2000,27647 (0%),72558 (162%),50971 (84%),56798 (105%),59520 (115%),50971 (84%),45576 (65%)
medlo,-3500,172490 (0%),NA,134670 (-22%),148289 (-14%),138590 (-20%),148289 (-14%),126424 (-27%)
medlo,-5000,221226 (0%),235664 (7%),381762 (73%),378513 (71%),381762 (73%),385794 (74%),341395 (54%)
medlo,<-5500,610403 (0%),643533 (5%),587246 (-4%),563145 (-8%),563145 (-8%),599063 (-2%),482226 (-21%)
medmed,-2000,92454 (0%),92454 (0%),92454 (0%),86009 (-7%),86009 (-7%),92454 (0%),92454 (0%)
medmed,-3500,199044 (0%),142418 (-28%),192542 (-3%),168017 (-16%),168017 (-16%),193514 (-3%),180004 (-10%)
medmed,-5000,255173 (0%),275124 (8%),349075 (37%),341008 (34%),341008 (34%),335387 (31%),387559 (52%)
medmed,<-5500,550177 (0%),550058 (0%),550177 (0%),546845 (-1%),550177 (0%),550177 (0%),453432 (-18%)
medhi,-2000,147578 (0%),258252 (75%),266318 (80%),187157 (27%),171758 (16%),258072 (75%),272042 (84%)
medhi,-3500,323198 (0%),297985 (-8%),315829 (-2%),311168 (-4%),307311 (-5%),315829 (-2%),298789 (-8%)
medhi,-5000,474261 (0%),326217 (-31%),514228 (8%),514017 (8%),517997 (9%),514017 (8%),426817 (-10%)
medhi,<-5500,459374 (0%),519506 (13%),NA,NA,NA,NA,497187 (8%)
hilo,-3500,137049 (0%),105506 (-23%),160217 (17%),160217 (17%),153086 (12%),160217 (17%),140818 (3%)
hilo,-5000,268225 (0%),NA,275541 (3%),268225 (0%),246158 (-8%),275541 (3%),258564 (-4%)
hilo,<-5500,248911 (0%),695294 (179%),248911 (0%),248911 (0%),291488 (17%),248911 (0%),NA
himed,-2000,72558 (0%),NA,86402 (19%),76711 (6%),76711 (6%),86402 (19%),86402 (19%)
himed,-3500,179494 (0%),135964 (-24%),201794 (12%),180248 (0%),192661 (7%),207813 (16%),196695 (10%)
himed,-5000,404291 (0%),NA,404291 (0%),395882 (-2%),395882 (-2%),404291 (0%),379857 (-6%)
himed,<-5500,379263 (0%),713900 (88%),373260 (-2%),373260 (-2%),373260 (-2%),373260 (-2%),407322 (7%)
hihi,-2000,319581 (0%),322921 (1%),314920 (-1%),335181 (5%),304795 (-5%),310940 (-3%),319581 (0%)
hihi,-3500,348996 (0%),354882 (2%),356571 (2%),338675 (-3%),334412 (-4%),356571 (2%),369606 (6%)
hihi,-5000,372784 (0%),403746 (8%),400334 (7%),400334 (7%),400334 (7%),400334 (7%),400035 (7%)
hihi,<-5500,399607 (0%),517967 (30%),382655 (-4%),382655 (-4%),382655 (-4%),382655 (-4%),411965 (3%)
