Inflow Group,OMR Bin,NAA,Alt1,Alt2woTUCPwoVA,Alt2woTUCPDeltaVA,Alt2woTUCPAllVA,Alt2wTUCPwoVA,Alt3,Alt4
lolo,-2000,27,29,31,29,24,29,27,31
lolo,-3500,18,17,21,25,25,22,9,19
lolo,-5000,22,10,14,11,10,13,3,19
lolo,<-5500,10,12,6,9,7,6,0,9
lolo,NA,55,40,65,64,72,65,131,65
lomed,-2000,25,38,35,23,20,33,11,32
lomed,-3500,9,8,8,5,6,9,2,10
lomed,-5000,12,5,4,3,3,4,1,4
lomed,<-5500,0,6,0,0,0,0,1,1
lomed,NA,24,27,28,51,44,29,55,28
lohi,-2000,10,7,7,2,1,7,5,7
lohi,-3500,3,11,12,9,6,12,3,13
lohi,-5000,3,3,1,2,1,1,0,1
lohi,<-5500,0,0,0,0,0,0,0,0
lohi,NA,15,9,10,17,15,9,12,8
medlo,-2000,1,4,3,2,3,3,14,2
medlo,-3500,11,0,22,17,19,21,2,13
medlo,-5000,45,18,16,15,16,16,11,19
medlo,<-5500,10,49,12,11,12,12,1,8
medlo,NA,14,5,19,19,14,20,34,24
medmed,-2000,26,10,16,13,17,16,4,15
medmed,-3500,25,12,40,25,24,43,4,33
medmed,-5000,20,8,6,6,6,6,7,17
medmed,<-5500,5,65,5,5,5,5,0,4
medmed,NA,25,10,29,48,54,27,47,27
medhi,-2000,11,7,11,7,8,11,0,11
medhi,-3500,8,13,24,19,21,25,1,25
medhi,-5000,1,5,2,2,2,2,3,4
medhi,<-5500,1,11,0,0,0,0,0,1
medhi,NA,30,18,13,22,24,13,37,11
hilo,-2000,0,0,0,0,0,0,4,0
hilo,-3500,2,1,6,6,5,6,1,3
hilo,-5000,10,0,8,8,7,8,13,8
hilo,<-5500,1,20,1,1,2,1,1,0
hilo,NA,7,0,5,4,4,5,10,9
himed,-2000,4,0,3,5,5,3,7,2
himed,-3500,12,1,21,14,14,21,5,13
himed,-5000,24,0,20,19,19,20,29,32
himed,<-5500,3,65,3,3,3,3,4,1
himed,NA,19,2,21,27,27,21,33,18
hihi,-2000,16,12,13,17,17,13,5,14
hihi,-3500,26,10,33,15,17,33,6,20
hihi,-5000,34,9,35,35,35,35,39,40
hihi,<-5500,5,65,7,7,7,7,8,6
hihi,NA,71,57,64,78,79,64,106,73
NA,-2000,0,0,0,0,0,1,0,0
NA,-3500,0,0,0,0,0,0,0,0
NA,-5000,0,0,0,0,0,0,0,0
NA,<-5500,0,0,0,0,0,0,0,0
NA,NA,0,1,0,0,0,0,4,0
