Inflow group,OMR bin,NAA,Alt1,Alt2woTUCPwoVA,Alt2woTUCPDeltaVA,Alt2woTUCPAllVA,Alt3,Alt2wTUCPwoVA,Alt4
lolo,-2000,54189 (0%),27647 (-49%),54189 (0%),45576 (-16%),54189 (0%),48794 (-10%),54189 (0%),59520 (10%)
lolo,-3500,117806 (0%),113044 (-4%),113044 (-4%),113044 (-4%),124055 (5%),153086 (30%),124055 (5%),124055 (5%)
lolo,-5000,240433 (0%),297005 (24%),345257 (44%),329891 (37%),361840 (50%),157458 (-35%),365872 (52%),380800 (58%)
lolo,<-5500,546547 (0%),541978 (-1%),542342 (-1%),562344 (3%),527855 (-3%),NA,527855 (-3%),491719 (-10%)
lomed,-2000,81465 (0%),101000 (24%),81465 (0%),76711 (-6%),96978 (19%),86009 (6%),86009 (6%),94255 (16%)
lomed,-3500,130344 (0%),120549 (-8%),120549 (-8%),120549 (-8%),139432 (7%),102742 (-21%),134670 (3%),139432 (7%)
lomed,-5000,208217 (0%),228476 (10%),281435 (35%),281435 (35%),289043 (39%),223757 (7%),289043 (39%),291861 (40%)
lomed,<-5500,NA,493876 (NA%),NA,NA,NA,441704 (NA%),NA,467873 (NA%)
lohi,-2000,130552 (0%),238535 (83%),199749 (53%),344641 (164%),180584 (38%),174501 (34%),176161 (35%),180584 (38%)
lohi,-3500,208428 (0%),235111 (13%),241111 (16%),191942 (-8%),238045 (14%),220352 (6%),238045 (14%),238045 (14%)
lohi,-5000,226351 (0%),234862 (4%),175053 (-23%),193470 (-15%),193470 (-15%),NA,193470 (-15%),190404 (-16%)
medlo,-2000,27647 (0%),72558 (162%),56798 (105%),59520 (115%),50971 (84%),72558 (162%),50971 (84%),45576 (65%)
medlo,-3500,172490 (0%),NA,148289 (-14%),138590 (-20%),134670 (-22%),140818 (-18%),148289 (-14%),126424 (-27%)
medlo,-5000,217383 (0%),231821 (7%),374670 (72%),377919 (74%),377919 (74%),394406 (81%),381951 (76%),337552 (55%)
medlo,<-5500,606560 (0%),639690 (5%),559302 (-8%),559302 (-8%),583403 (-4%),321144 (-47%),595220 (-2%),478383 (-21%)
medmed,-2000,92454 (0%),92454 (0%),86009 (-7%),86009 (-7%),92454 (0%),76711 (-17%),92454 (0%),92454 (0%)
medmed,-3500,195201 (0%),138575 (-29%),164174 (-16%),164174 (-16%),188699 (-3%),139727 (-28%),189671 (-3%),176161 (-10%)
medmed,-5000,251330 (0%),271281 (8%),337165 (34%),337165 (34%),345232 (37%),350767 (40%),331544 (32%),383716 (53%)
medmed,<-5500,546334 (0%),546215 (0%),543002 (-1%),546334 (0%),546334 (0%),NA,546334 (0%),449589 (-18%)
medhi,-2000,143735 (0%),254409 (77%),183314 (28%),167915 (17%),262475 (83%),NA,254229 (77%),268199 (87%)
medhi,-3500,319355 (0%),294142 (-8%),307325 (-4%),303468 (-5%),311986 (-2%),359483 (13%),311986 (-2%),294946 (-8%)
medhi,-5000,470418 (0%),322374 (-31%),510174 (8%),514154 (9%),510385 (8%),317894 (-32%),510174 (8%),422974 (-10%)
medhi,<-5500,455531 (0%),515663 (13%),NA,NA,NA,NA,NA,493344 (8%)
hilo,-2000,NA,NA,NA,NA,NA,72558 (NA%),NA,NA
hilo,-3500,137049 (0%),105506 (-23%),160217 (17%),153086 (12%),160217 (17%),135197 (-1%),160217 (17%),140818 (3%)
hilo,-5000,264382 (0%),NA,264382 (0%),242315 (-8%),271698 (3%),304232 (15%),271698 (3%),254721 (-4%)
hilo,<-5500,245068 (0%),691451 (182%),245068 (0%),287645 (17%),245068 (0%),311950 (27%),245068 (0%),NA
himed,-2000,72558 (0%),NA,76711 (6%),76711 (6%),86402 (19%),86009 (19%),86402 (19%),86402 (19%)
himed,-3500,175651 (0%),135964 (-23%),176405 (0%),188818 (7%),197951 (13%),139607 (-21%),203970 (16%),192852 (10%)
himed,-5000,400448 (0%),NA,392039 (-2%),392039 (-2%),400448 (0%),439660 (10%),400448 (0%),376014 (-6%)
himed,<-5500,375420 (0%),710057 (89%),369417 (-2%),369417 (-2%),369417 (-2%),371744 (-1%),369417 (-2%),403479 (7%)
hihi,-2000,315738 (0%),319078 (1%),331338 (5%),300952 (-5%),311077 (-1%),215474 (-32%),307097 (-3%),315738 (0%)
hihi,-3500,345153 (0%),351039 (2%),334832 (-3%),330569 (-4%),352728 (2%),326638 (-5%),352728 (2%),365763 (6%)
hihi,-5000,368941 (0%),399903 (8%),396491 (7%),396491 (7%),396491 (7%),426894 (16%),396491 (7%),396192 (7%)
hihi,<-5500,395764 (0%),514124 (30%),378812 (-4%),378812 (-4%),378812 (-4%),388836 (-2%),378812 (-4%),408122 (3%)
