channel_id,channel_number,node,A,B,C,D,E
0,1,1,0.999975444,0.999982996,0.999982372,0.99998446,0.999983053
1,2,2,0.999822869,0.99992986,0.999956529,0.999947959,0.999933566
2,3,3,0.999487224,0.999781126,0.999946195,0.999821873,0.999767445
3,4,4,0.99750635,0.998818492,0.999845554,0.998718156,0.998130616
4,5,5,0.995758592,0.998038445,0.99977676,0.998056479,0.997350626
5,6,6,0.992139954,0.995843953,0.9994875,0.995347695,0.993749422
6,7,7,0.988782773,0.994052551,0.99904058,0.993471462,0.992125749
7,8,8,0.66369612,0.760632928,0.864276025,0.735072255,0.757355449
8,9,9,0.670938751,0.770721547,0.872628558,0.74444849,0.766495782
9,10,10,0.678334738,0.773572685,0.8799211,0.749255203,0.772583188
10,11,11,0.6865617,0.777914486,0.884594274,0.754014532,0.777583053
11,12,12,0.69394057,0.782984213,0.888929564,0.760175546,0.783216815
12,13,13,0.696569942,0.786878049,0.891893211,0.763662703,0.786061989
13,14,14,0.700225819,0.792593182,0.894107571,0.768483617,0.788672126
14,15,15,0.701655218,0.79509668,0.895814403,0.771517201,0.789287552
15,16,16,0.712517176,0.80629289,0.902182978,0.788124674,0.80019714
16,17,17,0.999999983,0.999999762,0.99999599,0.999999501,0.999999998
17,18,18,0.736531086,0.805301334,0.911580335,0.810017622,0.807416817
18,19,19,0.747121886,0.805910906,0.915677213,0.81631721,0.807868457
19,20,20,0.759825716,0.808038345,0.92092363,0.822698115,0.808235572
20,21,21,0.775688781,0.812894956,0.924906685,0.829143947,0.811591394
21,22,22,0.794264151,0.820219848,0.930969017,0.836490502,0.817672996
22,23,23,0.809236092,0.826877673,0.933665377,0.842025022,0.824544222
23,24,24,0.853995632,0.865335282,0.950015878,0.871427201,0.862460158
24,25,25,0.866162019,0.877670598,0.950377437,0.87906769,0.876992425
25,26,26,0.635086708,0.541104891,0.683736192,0.607513606,0.498522452
26,27,28,0.743812977,0.716292697,0.73659015,0.720817591,0.721655127
27,28,27,0.648679425,0.553491499,0.681591104,0.624282916,0.501978847
28,29,29,0.775076879,0.744774183,0.754024761,0.75507263,0.758717247
29,30,26,0.753277519,0.741927587,0.772819529,0.743561469,0.740187001
30,31,29,0.75304222,0.730668342,0.758430534,0.727933168,0.724533009
31,32,30,0.88320451,0.84563226,0.756931388,0.85464781,0.845006811
32,33,31,0.278865457,0.180651859,0.046583991,0.202798419,0.252732367
33,34,30,0.675460436,0.647968226,0.635299952,0.654876135,0.663134146
34,35,31,0.492653039,0.441979564,0.360859172,0.451298308,0.464774729
35,36,32,0.72471468,0.679717606,0.593945037,0.690204737,0.701738916
36,37,33,0.715855129,0.683544125,0.600860771,0.688447711,0.70902278
37,38,34,0.694975902,0.656298482,0.535541375,0.665115261,0.687599784
38,39,35,0.632168531,0.568509335,0.424441458,0.571342258,0.608684277
39,40,36,0.656661002,0.601198935,0.448717931,0.602162412,0.635155458
40,41,35,0.771592551,0.711439944,0.602895105,0.716343477,0.73287222
41,42,37,0.707821506,0.650618199,0.513244541,0.659592572,0.681329247
42,43,38,0.688190235,0.634726186,0.463587094,0.642256952,0.671173573
43,44,39,0.711655926,0.652597073,0.499730466,0.66025218,0.688999626
44,45,40,0.743142522,0.700571803,0.569926448,0.700763597,0.748311412
45,46,41,0.759558691,0.714302304,0.588648816,0.711438258,0.758865038
46,47,42,0.761488789,0.716774096,0.591124918,0.711954925,0.760436299
47,48,43,0.769677388,0.733220552,0.616606084,0.731789772,0.783795011
48,49,469,0.766676415,0.717058208,0.603793037,0.727448479,0.767484077
49,50,45,0.768813614,0.719767055,0.624199765,0.732450908,0.768063032
50,51,461,0.757039562,0.716011792,0.640124005,0.733030448,0.767591994
51,52,46,0.778969016,0.730505899,0.661394079,0.74791622,0.788031384
52,53,47,0.823823762,0.770425533,0.701882417,0.774219121,0.810116695
53,54,8,0.560991842,0.683632699,0.84943642,0.661043506,0.6654535
54,55,48,0.575319565,0.695812783,0.851102182,0.659668928,0.667004926
55,56,49,0.581044229,0.700262561,0.861616181,0.664707931,0.668790698
56,57,50,0.587177771,0.702928911,0.868516751,0.666583216,0.666320294
57,58,51,0.585679903,0.698383913,0.873576846,0.663570963,0.65933401
58,59,52,0.561243301,0.65759617,0.844230333,0.625294327,0.60008401
59,60,53,0.581327773,0.670123412,0.850645868,0.630620786,0.600550024
60,61,54,0.665826671,0.678044397,0.855862176,0.65823159,0.63686039
61,62,55,0.686245841,0.697211788,0.864158643,0.674083348,0.651254444
62,63,56,0.822241146,0.879263043,0.904577551,0.883380069,0.888255995
63,65,169,0.839774147,0.876899533,0.900621579,0.880315058,0.889726443
64,66,169,0.728987909,0.837246208,0.883351235,0.852547672,0.829052564
65,67,57,0.713931559,0.816828028,0.934535384,0.828076134,0.813521887
66,68,58,0.638281854,0.762357737,0.922742775,0.770152781,0.824301726
67,69,57,0.924138479,0.937522523,0.903585042,0.943571555,0.947975674
68,70,59,0.687512493,0.802682099,0.940300169,0.819498795,0.849891952
69,71,60,0.700105541,0.80461516,0.939167068,0.824226714,0.851738172
