channel_id,channel_number,node,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1,1,0.999940623,0.999892133,0.999936465,0.999960135,0.999956815,0.999831712,0.999984168,0.9999848,0.99998242,0.999990491,0.999900049,0.999942145
1,2,2,0.999579295,0.999823255,0.999905485,0.999927834,0.999924186,0.999768816,0.999780695,0.999912064,0.999933153,0.999954763,0.999862551,0.999348434
2,3,3,0.998808422,0.999749678,0.99989796,0.999925327,0.999916114,0.999731266,0.999147994,0.999611426,0.999623136,0.999789311,0.9998232,0.997868091
3,4,4,0.995359278,0.998887523,0.999876907,0.999913412,0.999621819,0.999377322,0.996502034,0.998281115,0.997151559,0.997877518,0.999336618,0.992042041
4,5,5,0.993998394,0.997324886,0.99962879,0.999854795,0.999542884,0.999058696,0.995946073,0.998137093,0.996032345,0.997419987,0.998828729,0.989884007
5,6,6,0.989225065,0.995972562,0.99945414,0.999742445,0.99886051,0.998739554,0.992770485,0.996136893,0.990550943,0.993764559,0.998023132,0.979960582
6,7,7,0.987153958,0.996047215,0.999256707,0.999593562,0.998531191,0.998842003,0.99228621,0.995781349,0.989900245,0.993535976,0.998125615,0.976527256
7,8,8,0.545850787,0.903930412,0.91242634,0.944124034,0.903641166,0.968729743,0.708929175,0.764069531,0.582057546,0.659094541,0.893809651,0.294605464
8,9,9,0.549975137,0.900751215,0.909313747,0.940888495,0.902714166,0.967781627,0.705345883,0.758316852,0.591541467,0.662991043,0.890032206,0.333073056
9,10,10,0.548156053,0.91101144,0.917099974,0.94736894,0.907323217,0.970823743,0.699022165,0.753754658,0.59485117,0.668307766,0.901626092,0.348444707
10,11,11,0.546303141,0.916936955,0.921981816,0.951226044,0.909907567,0.972570076,0.696652483,0.75013514,0.600026513,0.673610348,0.908276967,0.362812081
11,12,12,0.548249461,0.92842068,0.931359853,0.958473948,0.915307272,0.975742127,0.696875482,0.749649819,0.615244964,0.684988838,0.921227022,0.378740344
12,13,13,0.550462993,0.933402773,0.934944964,0.961142489,0.91772358,0.977071801,0.701098867,0.75120556,0.626101284,0.691457691,0.926341039,0.387245294
13,14,14,0.556067228,0.935917504,0.936479099,0.962433617,0.918996808,0.977750249,0.705287288,0.756568365,0.642295803,0.701532179,0.928847593,0.403408536
14,15,15,0.561859418,0.938616563,0.938203522,0.963728587,0.920551274,0.978460838,0.7086374,0.76199377,0.65366171,0.709691006,0.931663425,0.413335144
