Date,Month,OMR,Sac.cfs,SJR.cfs,Sub.group
1933/12/31,12,-6500,15377,1791,A
1978/12/31,12,-6500,11336,2234,D
1922/1/31,1,-5000,17769,2490,B
1923/2/28,2,-5000,19424,6830,C
1924/2/29,2,-5000,17847,1894,AB
1925/1/31,1,-5000,12777,1473,A
1926/1/31,1,-5000,17782,1593,A
1927/6/30,6,-5000,12062,2356,D
1928/1/31,1,-5000,23365,2814,E
1929/1/31,1,-5000,13247,1588,A
1929/2/28,2,-5000,19481,1747,A
1929/12/31,12,-5000,18477,1335,A
1931/1/31,1,-5000,13786,1478,A
1931/12/31,12,-5000,19595,2477,B
1932/6/30,6,-5000,16518,2159,B
1933/1/31,1,-5000,15689,2070,ABD
1933/2/28,2,-5000,16319,2020,AB
1935/6/30,6,-5000,14155,2581,BD
1936/6/30,6,-5000,12780,2680,BD
1939/2/28,2,-5000,14365,3091,BD
1940/6/30,6,-5000,13323,2387,BD
1944/1/31,1,-5000,13838,2206,BD
1944/6/30,6,-5000,15457,2139,BD
1944/12/31,12,-5000,17638,2501,B
1945/1/31,1,-5000,14300,2428,BD
1945/6/30,6,-5000,14369,2409,BD
1946/2/28,2,-5000,19498,4684,C
1946/6/30,6,-5000,13507,2340,BD
1947/1/31,1,-5000,10794,2593,D
1947/6/30,6,-5000,15605,1299,A
1948/6/30,6,-5000,13085,2153,BD
1949/2/28,2,-5000,17567,1805,A
1949/6/30,6,-5000,14065,1791,A
1950/6/30,6,-5000,12454,2421,D
1951/6/30,6,-5000,15642,1891,ABD
1952/12/31,12,-5000,36203,2484,E
1953/6/30,6,-5000,13276,1859,ABD
1955/1/31,1,-5000,20144,2197,B
1955/2/28,2,-5000,15501,1747,A
1956/6/30,6,-5000,12968,6205,C
1957/1/31,1,-5000,13407,1963,ABD
1957/6/30,6,-5000,12519,1885,D
1960/1/31,1,-5000,12644,1340,A
1961/1/31,1,-5000,12590,1284,A
1962/6/30,6,-5000,13279,1865,ABD
1963/6/30,6,-5000,15963,2674,BD
1964/2/29,2,-5000,16870,2084,AB
1966/6/30,6,-5000,13876,1378,A
1968/6/30,6,-5000,16687,1300,A
1970/6/30,6,-5000,14972,1432,A
1971/6/30,6,-5000,12984,1751,A
1971/12/31,12,-5000,19596,1929,AB
1973/6/30,6,-5000,16564,2148,B
1974/6/30,6,-5000,13747,2797,BD
1975/1/31,1,-5000,13731,2774,BD
1975/6/30,6,-5000,14123,4424,C
1976/2/29,2,-5000,13283,2391,BD
1976/3/31,3,-5000,14342,1675,A
1979/6/30,6,-5000,16381,2018,AB
1981/6/30,6,-5000,15957,1471,A
1984/6/30,6,-5000,16644,2394,B
1985/1/31,1,-5000,12584,2220,BD
1985/2/28,2,-5000,18717,2856,B
1985/6/30,6,-5000,15814,1338,A
1987/1/31,1,-5000,14124,1659,A
1987/12/31,12,-5000,18472,1400,A
1990/2/28,2,-5000,16891,1516,A
1993/6/30,6,-5000,14838,4967,C
1994/1/31,1,-5000,13104,1335,A
1994/2/28,2,-5000,24966,2320,E
1995/12/31,12,-5000,25481,2297,E
1996/6/30,6,-5000,11813,3098,D
1999/6/30,6,-5000,14215,2069,ABD
2000/12/31,12,-5000,9831,1888,D
2001/1/31,1,-5000,16153,2018,ABD
1923/3/31,3,-3500,13512,4496,C
1923/6/30,6,-3500,10468,2966,D
1925/3/31,3,-3500,17524,2408,B
1926/3/31,3,-3500,16301,1766,A
1929/3/31,3,-3500,14428,1686,A
1930/3/31,3,-3500,30238,1906,E
1934/1/31,1,-3500,20435,1757,A
1935/1/31,1,-3500,29360,2319,E
1935/3/31,3,-3500,27966,2937,E
1939/1/31,1,-3500,10826,2493,D
1940/1/31,1,-3500,30855,3072,E
1946/3/31,3,-3500,20724,5440,C
1947/3/31,3,-3500,20614,1581,A
1948/1/31,1,-3500,14434,1426,A
1948/3/31,3,-3500,16751,1596,A
1950/3/31,3,-3500,20206,2108,AB
1954/6/30,6,-3500,11363,1891,D
